ticker,dir_acc,baseline,edge,mae,rmse,r2,reg_dir_acc
ADANIPORTS,0.4707692307692308,0.48615384615384616,-0.015384615384615385,0.018048382284698797,0.027049345724291476,-0.12370619593448495,0.49230769230769234
ASIANPAINT,0.4989130434782609,0.5021739130434782,-0.0032608695652173725,0.012249517510924554,0.017606857467727444,-0.052935760764138085,0.5152173913043478
AXISBANK,0.492972972972973,0.49405405405405406,-0.00108108108108107,0.017429624333527027,0.026972297616827578,-0.02399333024904271,0.49945945945945946
BAJAJ-AUTO,0.4728434504792332,0.5287539936102237,-0.055910543130990475,0.013634328426774702,0.02043578534665833,-0.1157389633177166,0.4952076677316294
BAJAJFINSV,0.4960380348652932,0.4849445324881141,0.011093502377179099,0.018403799447234873,0.028378987485770724,-0.044174052480634884,0.47702060221870046
BAJFINANCE,0.5136017410228509,0.5266594124047879,-0.01305767138193692,0.018881289179908414,0.028234396329497057,-0.030412988930787366,0.5081610446137106
BHARTIARTL,0.5021739130434782,0.5141304347826087,-0.011956521739130421,0.017077622244652264,0.02363265835803524,-0.02747185835349386,0.5065217391304347
BPCL,0.5054585152838428,0.48799126637554585,0.01746724890829693,0.018793022736970446,0.027276990195784088,-0.03225541134062748,0.5120087336244541
BRITANNIA,0.5315217391304348,0.49782608695652175,0.033695652173913015,0.011183652369140491,0.01699330218904687,-0.020709966339957697,0.5184782608695652
CIPLA,0.5119565217391304,0.45760869565217394,0.054347826086956486,0.013447607127879908,0.019434060742328545,-0.0720157205255314,0.5054347826086957
COALINDIA,0.5019607843137255,0.5215686274509804,-0.019607843137254943,0.017209139834461987,0.023664928470927916,-0.06550010982934085,0.5137254901960784
DRREDDY,0.4854054054054054,0.49405405405405406,-0.008648648648648671,0.013709758735538672,0.019563472186121714,-0.049596042062208134,0.5156756756756756
EICHERMOT,0.492972972972973,0.4908108108108108,0.0021621621621621956,0.016851766573522952,0.02366375636943341,-0.08938890428019763,0.5016216216216216
GRASIM,0.48324324324324325,0.48864864864864865,-0.005405405405405406,0.01606950501651264,0.022870764040692697,-0.016104628338015736,0.4908108108108108
HCLTECH,0.5141921397379913,0.5338427947598253,-0.01965065502183405,0.01370158142493247,0.01923339951621074,-0.04238161644153493,0.5218340611353712
HDFC,0.5043478260869565,0.5184782608695652,-0.01413043478260867,0.014419585109716186,0.021802757037804776,-0.10032450187076303,0.5173913043478261
HDFCBANK,0.5173913043478261,0.5141304347826087,0.003260869565217428,0.011518298851543443,0.0187193626347893,-0.23867070075310592,0.5108695652173914
HEROMOTOCO,0.5091496232508074,0.48546824542518835,0.02368137782561902,0.01451965301734561,0.021232079806045114,-0.04874719068833544,0.5242195909580194
HINDALCO,0.5218818380743983,0.5010940919037199,0.020787746170678356,0.0194733477196667,0.027280824416030285,-0.04343718534320118,0.4824945295404814
HINDUNILVR,0.46336206896551724,0.49676724137931033,-0.033405172413793094,0.010911806015773939,0.01586680182964354,-0.05566504317480936,0.48814655172413796
ICICIBANK,0.4972972972972973,0.5005405405405405,-0.00324324324324321,0.01713193779338544,0.025120726639126248,-0.06313567969260103,0.4821621621621622
INFY,0.5049614112458655,0.545755237045204,-0.040793825799338546,0.01322223168368558,0.019901020120831583,-0.06445360947442502,0.523704520396913
IOC,0.4796926454445664,0.48737650933040616,-0.007683863885839748,0.015701354886664676,0.021798421147717326,-0.006764257039993948,0.4950603732162459
ITC,0.49836065573770494,0.4721311475409836,0.02622950819672132,0.011849273937200372,0.017506652799094257,-0.0349567391510861,0.4896174863387978
JSWSTEEL,0.49615384615384617,0.5256410256410257,-0.029487179487179493,0.019275699590129848,0.027469787133674445,-0.12018190837398146,0.49743589743589745
LT,0.4888888888888889,0.4876543209876543,0.0012345679012345512,0.013346825221046871,0.01991792265887779,-0.04062309373043593,0.49876543209876545
MARUTI,0.5389908256880734,0.48394495412844035,0.055045871559633086,0.014471058130873503,0.02188086127574298,-0.03037892837299938,0.5103211009174312
MM,0.5305676855895196,0.517467248908297,0.013100436681222627,0.015821198552800488,0.023429753360407493,-0.08680579619018247,0.5152838427947598
NESTLEIND,0.5072463768115942,0.4945652173913043,0.012681159420289911,0.012545810559924736,0.01776601706089662,-0.04732733516373089,0.519927536231884
NTPC,0.5222772277227723,0.5358910891089109,-0.013613861386138626,0.013602548292050789,0.01937405611997867,-0.03435012608943433,0.5618811881188119
ONGC,0.4923580786026201,0.49344978165938863,-0.0010917030567685337,0.01705069005068697,0.025923001596993567,-0.09697813735449268,0.49344978165938863
POWERGRID,0.5181268882175226,0.5120845921450151,0.0060422960725075026,0.013652011757183195,0.018821166720404254,-0.03071961642423493,0.5287009063444109
RELIANCE,0.5387978142076503,0.5169398907103825,0.021857923497267784,0.014493603825629203,0.02111067298537381,-0.02181431715539417,0.5245901639344263
SBIN,0.5260869565217391,0.4934782608695652,0.03260869565217389,0.017665326118423568,0.02610904882131258,-0.054292986510896535,0.5293478260869565
SUNPHARMA,0.5016574585635359,0.49171270718232046,0.009944751381215478,0.016670056666632082,0.022622932792682102,-0.09203512957309701,0.4707182320441989
TATAMOTORS,0.4652173913043478,0.48586956521739133,-0.020652173913043526,0.02300952149074527,0.0327911836644423,-0.043270378863049075,0.5119565217391304
TATASTEEL,0.49130434782608695,0.5141304347826087,-0.02282608695652172,0.0189531066528012,0.025790046245735037,-0.048292465887488145,0.5097826086956522
TCS,0.5192546583850932,0.5242236024844721,-0.004968944099378869,0.013271441783716285,0.018858672623103867,-0.10958750001084372,0.5478260869565217
TECHM,0.5105189340813464,0.5259467040673211,-0.015427769985974726,0.01503654656691047,0.022198741107802334,-0.11477656350671173,0.5343618513323983
TITAN,0.5141304347826087,0.5271739130434783,-0.013043478260869601,0.014525308200023207,0.02174409709780503,-0.05449542327000878,0.5423913043478261
ULTRACEMCO,0.5171149144254279,0.5073349633251834,0.009779951100244544,0.01440025100458533,0.020275455815124282,-0.008011519353301022,0.5232273838630807
UPL,0.5203836930455635,0.5227817745803357,-0.0023980815347721673,0.017992512609205147,0.02734453246974718,-0.1291233269723031,0.5107913669064749
VEDL,0.483695652173913,0.4967391304347826,-0.013043478260869601,0.020719721948414302,0.031172022341841632,-0.14159835574248292,0.4826086956521739
WIPRO,0.47310647639956094,0.5246981339187706,-0.05159165751920969,0.013131897012477885,0.020781523091761643,-0.06768025483500706,0.4654226125137212
